Observacion,clase,cap-shape,cap-surface,cap-color,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,bruises
3902,poisonous,convex,fibrous,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,pink.,partial,white,one,large,chocolate,solitary,paths,No presenta
3903,poisonous,flat,fibrous,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,pink,pink.,partial,white,one,large,chocolate,several,grasses,No presenta
3904,edible,flat,smooth,pink,null,free,close,broad,red,enlarging,,smooth,smooth,white,white.,partial,white,two,evanescent,white,clustered,waste,Presenta
3906,poisonous,convex,fibrous,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,buff.,partial,white,one,large,chocolate,solitary,wood,No presenta
3907,poisonous,flat,scaly,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,brown.,partial,white,one,large,chocolate,solitary,grasses,No presenta
3908,edible,knobbed,smooth,pink,null,free,close,broad,red,enlarging,,smooth,smooth,white,red.,partial,white,two,evanescent,white,clustered,waste,Presenta
3909,poisonous,flat,fibrous,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,pink,brown.,partial,white,one,large,chocolate,several,paths,No presenta
3912,poisonous,flat,fibrous,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,brown.,partial,white,one,large,chocolate,solitary,wood,No presenta
3913,poisonous,convex,fibrous,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,pink.,partial,white,one,large,chocolate,several,wood,No presenta
3914,poisonous,flat,fibrous,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,brown.,partial,white,one,large,chocolate,several,grasses,No presenta
3915,poisonous,flat,fibrous,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,brown.,partial,white,one,large,chocolate,solitary,wood,No presenta
3916,poisonous,flat,fibrous,yellow,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,buff.,partial,white,one,large,chocolate,solitary,grasses,No presenta
3917,edible,flat,scaly,green,null,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,white.,partial,white,one,pendant,brown,solitary,wood,Presenta
3918,poisonous,flat,scaly,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,pink.,partial,white,one,large,chocolate,several,wood,No presenta
3919,poisonous,convex,scaly,green,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,brown.,partial,white,one,large,chocolate,solitary,grasses,No presenta
3920,poisonous,convex,scaly,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,buff.,partial,white,one,large,chocolate,solitary,paths,No presenta
3921,poisonous,convex,fibrous,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,brown.,partial,white,one,large,chocolate,several,grasses,No presenta
3922,poisonous,convex,scaly,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,buff.,partial,white,one,large,chocolate,solitary,paths,No presenta
3923,poisonous,flat,fibrous,green,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,pink.,partial,white,one,large,chocolate,several,grasses,No presenta
3925,poisonous,flat,fibrous,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,buff.,partial,white,one,large,chocolate,several,grasses,No presenta
3926,poisonous,flat,fibrous,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,brown.,partial,white,one,large,chocolate,solitary,grasses,No presenta
3927,poisonous,flat,scaly,yellow,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,pink.,partial,white,one,large,chocolate,several,grasses,No presenta
3929,poisonous,flat,scaly,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,buff.,partial,white,one,large,chocolate,solitary,grasses,No presenta
3930,poisonous,flat,scaly,green,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,buff.,partial,white,one,large,chocolate,several,paths,No presenta
3931,edible,convex,scaly,green,null,free,close,narrow,pink,enlarging,,smooth,fibrous,white,white.,partial,white,one,flaring,chocolate,several,wood,No presenta
3932,poisonous,flat,scaly,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,buff.,partial,white,one,large,chocolate,solitary,grasses,No presenta
3934,poisonous,convex,scaly,brown,spicy,free,close,narrow,buff,tapering,,silky,smooth,white,white.,partial,white,one,evanescent,white,several,paths,No presenta
3936,poisonous,convex,scaly,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,brown.,partial,white,one,large,chocolate,several,wood,No presenta
3939,poisonous,convex,scaly,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,buff.,partial,white,one,large,chocolate,several,wood,No presenta
3940,poisonous,convex,scaly,green,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,brown.,partial,white,one,large,chocolate,solitary,grasses,No presenta
3941,edible,flat,scaly,red,null,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,pink.,partial,white,one,pendant,black,solitary,wood,Presenta
3943,poisonous,convex,scaly,yellow,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,pink.,partial,white,one,large,chocolate,several,grasses,No presenta
3946,poisonous,flat,fibrous,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,pink.,partial,white,one,large,chocolate,several,grasses,No presenta
3949,poisonous,flat,scaly,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,brown.,partial,white,one,large,chocolate,solitary,wood,No presenta
3950,poisonous,flat,fibrous,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,pink,buff.,partial,white,one,large,chocolate,several,wood,No presenta
3951,poisonous,flat,scaly,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,brown.,partial,white,one,large,chocolate,solitary,grasses,No presenta
3953,poisonous,flat,fibrous,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,pink.,partial,white,one,large,chocolate,solitary,wood,No presenta
3954,poisonous,flat,scaly,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,brown.,partial,white,one,large,chocolate,solitary,wood,No presenta
3955,poisonous,convex,scaly,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,pink.,partial,white,one,large,chocolate,solitary,paths,No presenta
3957,poisonous,flat,smooth,buff,foul,free,close,broad,chocolate,tapering,bulbous,smooth,smooth,white,white.,partial,white,one,pendant,chocolate,several,urban,Presenta
3958,poisonous,convex,fibrous,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,pink.,partial,white,one,large,chocolate,several,grasses,No presenta
3959,poisonous,flat,fibrous,green,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,pink.,partial,white,one,large,chocolate,solitary,grasses,No presenta
3960,edible,flat,scaly,green,null,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,pink.,partial,white,one,pendant,brown,several,wood,Presenta
3961,poisonous,flat,scaly,green,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,pink,pink.,partial,white,one,large,chocolate,solitary,wood,No presenta
3962,poisonous,flat,fibrous,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,brown.,partial,white,one,large,chocolate,solitary,grasses,No presenta
3963,edible,flat,scaly,red,null,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,gray.,partial,white,one,pendant,black,several,wood,Presenta
3966,poisonous,convex,scaly,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,brown.,partial,white,one,large,chocolate,solitary,wood,No presenta
3967,poisonous,flat,fibrous,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,brown.,partial,white,one,large,chocolate,solitary,grasses,No presenta
3968,poisonous,flat,scaly,green,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,buff.,partial,white,one,large,chocolate,solitary,grasses,No presenta
3969,poisonous,convex,fibrous,green,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,brown.,partial,white,one,large,chocolate,solitary,grasses,No presenta
3970,poisonous,flat,scaly,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,buff.,partial,white,one,large,chocolate,several,grasses,No presenta
3971,poisonous,convex,scaly,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,brown.,partial,white,one,large,chocolate,solitary,grasses,No presenta
3972,poisonous,flat,scaly,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,brown.,partial,white,one,large,chocolate,solitary,paths,No presenta
3973,poisonous,flat,scaly,yellow,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,buff.,partial,white,one,large,chocolate,solitary,grasses,No presenta
3974,poisonous,convex,scaly,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,buff.,partial,white,one,large,chocolate,solitary,wood,No presenta
3975,poisonous,flat,scaly,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,pink.,partial,white,one,large,chocolate,several,wood,No presenta
3976,edible,convex,scaly,purple,null,free,close,narrow,chocolate,enlarging,,smooth,fibrous,white,white.,partial,white,one,flaring,chocolate,solitary,wood,No presenta
3979,poisonous,flat,fibrous,yellow,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,buff.,partial,white,one,large,chocolate,several,grasses,No presenta
3980,poisonous,flat,fibrous,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,brown.,partial,white,one,large,chocolate,several,grasses,No presenta
3981,poisonous,flat,fibrous,yellow,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,brown.,partial,white,one,large,chocolate,solitary,wood,No presenta
3984,edible,flat,fibrous,red,null,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,white.,partial,white,one,pendant,brown,solitary,wood,Presenta
3985,poisonous,flat,scaly,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,brown.,partial,white,one,large,chocolate,several,wood,No presenta
3988,edible,flat,scaly,brown,null,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,gray.,partial,white,one,pendant,black,several,wood,Presenta
3989,poisonous,flat,scaly,yellow,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,brown.,partial,white,one,large,chocolate,solitary,grasses,No presenta
3990,edible,convex,smooth,buff,null,free,close,broad,red,enlarging,,smooth,smooth,white,white.,partial,white,two,evanescent,white,clustered,waste,Presenta
3991,poisonous,convex,scaly,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,pink.,partial,white,one,large,chocolate,solitary,grasses,No presenta
3993,edible,flat,fibrous,red,null,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,gray.,partial,white,one,pendant,black,solitary,wood,Presenta
3995,poisonous,convex,scaly,yellow,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,brown.,partial,white,one,large,chocolate,several,wood,No presenta
3996,poisonous,convex,scaly,brown,fishy,free,close,narrow,buff,tapering,,silky,smooth,white,pink.,partial,white,one,evanescent,white,several,wood,No presenta
3997,poisonous,flat,fibrous,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,pink,buff.,partial,white,one,large,chocolate,several,paths,No presenta
3999,poisonous,flat,fibrous,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,buff.,partial,white,one,large,chocolate,several,wood,No presenta
4001,poisonous,convex,smooth,green,creosote,free,close,narrow,pink,enlarging,bulbous,smooth,smooth,white,white.,partial,white,one,pendant,black,several,wood,No presenta
4002,poisonous,convex,scaly,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,pink.,partial,white,one,large,chocolate,solitary,grasses,No presenta
4003,poisonous,flat,smooth,green,foul,free,close,broad,chocolate,tapering,bulbous,fibrous,fibrous,white,white.,partial,white,one,pendant,chocolate,scattered,urban,Presenta
4004,poisonous,convex,scaly,green,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,brown.,partial,white,one,large,chocolate,several,grasses,No presenta
4005,edible,flat,scaly,green,null,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,gray.,partial,white,one,pendant,black,solitary,wood,Presenta
4006,poisonous,flat,fibrous,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,brown.,partial,white,one,large,chocolate,solitary,wood,No presenta
4008,poisonous,convex,scaly,green,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,pink.,partial,white,one,large,chocolate,solitary,wood,No presenta
4009,edible,flat,scaly,brown,null,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,gray.,partial,white,one,pendant,brown,several,wood,Presenta
4010,poisonous,flat,fibrous,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,pink.,partial,white,one,large,chocolate,several,grasses,No presenta
4012,poisonous,flat,fibrous,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,buff.,partial,white,one,large,chocolate,solitary,paths,No presenta
4013,poisonous,flat,fibrous,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,buff.,partial,white,one,large,chocolate,solitary,grasses,No presenta
4015,edible,knobbed,scaly,buff,null,free,close,broad,red,enlarging,,smooth,smooth,red,red.,partial,white,two,evanescent,white,clustered,waste,Presenta
4018,poisonous,flat,scaly,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,pink.,partial,white,one,large,chocolate,several,wood,No presenta
4019,poisonous,flat,fibrous,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,pink.,partial,white,one,large,chocolate,solitary,grasses,No presenta
4020,poisonous,flat,scaly,yellow,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,brown.,partial,white,one,large,chocolate,solitary,grasses,No presenta
4021,poisonous,convex,fibrous,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,buff.,partial,white,one,large,chocolate,solitary,wood,No presenta
4022,poisonous,convex,smooth,white,foul,free,close,broad,pink,tapering,bulbous,fibrous,fibrous,white,white.,partial,white,one,pendant,chocolate,several,urban,Presenta
4023,poisonous,convex,scaly,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,buff.,partial,white,one,large,chocolate,several,grasses,No presenta
4024,poisonous,convex,fibrous,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,pink,brown.,partial,white,one,large,chocolate,solitary,grasses,No presenta
4029,poisonous,flat,fibrous,yellow,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,buff.,partial,white,one,large,chocolate,solitary,paths,No presenta
4031,edible,flat,scaly,brown,null,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,pink.,partial,white,one,pendant,black,solitary,wood,Presenta
4033,poisonous,flat,fibrous,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,buff.,partial,white,one,large,chocolate,several,paths,No presenta
4036,poisonous,flat,fibrous,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,brown.,partial,white,one,large,chocolate,solitary,wood,No presenta
4039,poisonous,flat,fibrous,yellow,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,buff.,partial,white,one,large,chocolate,solitary,paths,No presenta
4040,edible,flat,smooth,brown,null,free,close,broad,red,enlarging,,smooth,smooth,white,white.,partial,white,two,evanescent,white,clustered,waste,Presenta
4041,poisonous,convex,scaly,brown,fishy,free,close,narrow,buff,tapering,,smooth,silky,pink,pink.,partial,white,one,evanescent,white,several,paths,No presenta
4042,poisonous,convex,fibrous,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,brown.,partial,white,one,large,chocolate,solitary,wood,No presenta
4044,poisonous,flat,scaly,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,buff.,partial,white,one,large,chocolate,solitary,wood,No presenta
4046,poisonous,convex,scaly,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,buff.,partial,white,one,large,chocolate,several,grasses,No presenta
4048,poisonous,flat,scaly,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,brown.,partial,white,one,large,chocolate,solitary,grasses,No presenta
4049,poisonous,convex,fibrous,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,buff.,partial,white,one,large,chocolate,several,wood,No presenta
4051,poisonous,flat,fibrous,green,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,pink,buff.,partial,white,one,large,chocolate,solitary,paths,No presenta
4052,poisonous,flat,fibrous,yellow,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,pink.,partial,white,one,large,chocolate,solitary,paths,No presenta
4053,poisonous,flat,fibrous,yellow,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,brown.,partial,white,one,large,chocolate,several,paths,No presenta
4054,poisonous,flat,fibrous,yellow,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,pink.,partial,white,one,large,chocolate,several,wood,No presenta
4057,edible,convex,smooth,buff,null,free,close,broad,white,enlarging,,smooth,smooth,red,white.,partial,white,two,evanescent,white,clustered,waste,Presenta
4058,poisonous,flat,fibrous,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,brown.,partial,white,one,large,chocolate,several,wood,No presenta
4059,poisonous,convex,fibrous,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,buff.,partial,white,one,large,chocolate,several,wood,No presenta
4060,poisonous,convex,scaly,brown,spicy,free,close,narrow,buff,tapering,,smooth,smooth,pink,pink.,partial,white,one,evanescent,white,several,leaves,No presenta
4061,poisonous,convex,scaly,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,buff.,partial,white,one,large,chocolate,solitary,wood,No presenta
4062,poisonous,flat,scaly,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,buff.,partial,white,one,large,chocolate,several,paths,No presenta
4063,poisonous,flat,fibrous,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,pink.,partial,white,one,large,chocolate,solitary,grasses,No presenta
4064,poisonous,convex,scaly,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,brown.,partial,white,one,large,chocolate,several,wood,No presenta
4065,poisonous,convex,fibrous,yellow,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,buff.,partial,white,one,large,chocolate,several,grasses,No presenta
4066,poisonous,flat,fibrous,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,brown.,partial,white,one,large,chocolate,solitary,paths,No presenta
4067,poisonous,convex,scaly,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,pink.,partial,white,one,large,chocolate,several,paths,No presenta
4070,edible,convex,scaly,purple,null,free,close,narrow,chocolate,enlarging,,smooth,fibrous,white,white.,partial,white,one,flaring,chocolate,several,wood,No presenta
4072,poisonous,flat,scaly,yellow,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,pink.,partial,white,one,large,chocolate,solitary,wood,No presenta
4073,poisonous,convex,scaly,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,pink.,partial,white,one,large,chocolate,solitary,paths,No presenta
4074,poisonous,convex,scaly,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,buff.,partial,white,one,large,chocolate,several,grasses,No presenta
4075,poisonous,flat,fibrous,green,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,pink,brown.,partial,white,one,large,chocolate,solitary,wood,No presenta
4077,poisonous,flat,fibrous,yellow,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,pink.,partial,white,one,large,chocolate,several,wood,No presenta
4078,poisonous,flat,scaly,yellow,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,pink.,partial,white,one,large,chocolate,solitary,grasses,No presenta
4080,poisonous,flat,fibrous,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,buff.,partial,white,one,large,chocolate,several,paths,No presenta
4081,poisonous,flat,scaly,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,pink.,partial,white,one,large,chocolate,several,grasses,No presenta
4082,poisonous,convex,fibrous,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,brown.,partial,white,one,large,chocolate,several,paths,No presenta
4083,edible,flat,fibrous,green,null,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,gray.,partial,white,one,pendant,brown,several,wood,Presenta
4084,edible,convex,scaly,purple,null,free,close,narrow,purple,enlarging,,smooth,fibrous,white,white.,partial,white,one,flaring,chocolate,several,wood,No presenta
4087,poisonous,convex,fibrous,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,pink.,partial,white,one,large,chocolate,several,wood,No presenta
4088,poisonous,convex,scaly,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,brown.,partial,white,one,large,chocolate,solitary,paths,No presenta
4090,poisonous,convex,fibrous,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,pink.,partial,white,one,large,chocolate,solitary,paths,No presenta
4091,edible,flat,fibrous,red,null,free,close,broad,white,tapering,bulbous,smooth,smooth,white,gray.,partial,white,one,pendant,brown,several,wood,Presenta
4093,poisonous,convex,scaly,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,brown.,partial,white,one,large,chocolate,solitary,paths,No presenta
4094,poisonous,flat,scaly,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,brown.,partial,white,one,large,chocolate,solitary,wood,No presenta
4095,poisonous,convex,scaly,green,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,brown.,partial,white,one,large,chocolate,solitary,paths,No presenta
4096,poisonous,convex,fibrous,white,creosote,free,close,narrow,gray,enlarging,bulbous,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,wood,No presenta
4097,poisonous,convex,fibrous,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,pink,brown.,partial,white,one,large,chocolate,several,grasses,No presenta
4099,poisonous,flat,fibrous,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,brown.,partial,white,one,large,chocolate,solitary,paths,No presenta
4100,poisonous,convex,scaly,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,pink.,partial,white,one,large,chocolate,several,grasses,No presenta
4102,poisonous,convex,scaly,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,brown.,partial,white,one,large,chocolate,solitary,paths,No presenta
4103,poisonous,flat,fibrous,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,buff.,partial,white,one,large,chocolate,solitary,wood,No presenta
4105,poisonous,flat,fibrous,green,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,pink,buff.,partial,white,one,large,chocolate,solitary,wood,No presenta
4106,poisonous,flat,fibrous,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,brown.,partial,white,one,large,chocolate,several,grasses,No presenta
4107,poisonous,flat,fibrous,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,brown.,partial,white,one,large,chocolate,several,wood,No presenta
4109,poisonous,convex,scaly,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,pink.,partial,white,one,large,chocolate,several,grasses,No presenta
4111,edible,flat,scaly,buff,null,free,close,broad,white,enlarging,,smooth,smooth,white,white.,partial,white,two,evanescent,white,clustered,waste,Presenta
4113,poisonous,flat,scaly,green,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,pink,buff.,partial,white,one,large,chocolate,solitary,wood,No presenta
4114,poisonous,flat,fibrous,green,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,pink,buff.,partial,white,one,large,chocolate,several,paths,No presenta
4115,poisonous,convex,fibrous,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,pink,brown.,partial,white,one,large,chocolate,several,paths,No presenta
4116,poisonous,flat,fibrous,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,pink.,partial,white,one,large,chocolate,solitary,wood,No presenta
4117,poisonous,flat,scaly,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,buff.,partial,white,one,large,chocolate,several,paths,No presenta
4119,poisonous,flat,fibrous,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,buff.,partial,white,one,large,chocolate,several,wood,No presenta
4120,poisonous,flat,smooth,buff,foul,free,close,broad,white,tapering,bulbous,fibrous,fibrous,white,white.,partial,white,one,pendant,chocolate,several,grasses,Presenta
4121,edible,flat,fibrous,red,null,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,white.,partial,white,one,pendant,black,several,wood,Presenta
4126,poisonous,convex,fibrous,yellow,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,buff.,partial,white,one,large,chocolate,solitary,wood,No presenta
4130,poisonous,flat,scaly,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,pink.,partial,white,one,large,chocolate,solitary,paths,No presenta
4131,poisonous,convex,scaly,green,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,pink,pink.,partial,white,one,large,chocolate,several,paths,No presenta
4132,edible,flat,scaly,purple,null,free,close,narrow,chocolate,enlarging,,smooth,fibrous,white,white.,partial,white,one,flaring,chocolate,several,wood,No presenta
4133,poisonous,flat,fibrous,yellow,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,buff.,partial,white,one,large,chocolate,solitary,wood,No presenta
4134,poisonous,flat,scaly,green,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,buff.,partial,white,one,large,chocolate,several,grasses,No presenta
4135,poisonous,convex,scaly,yellow,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,pink.,partial,white,one,large,chocolate,solitary,grasses,No presenta
4136,poisonous,flat,fibrous,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,brown.,partial,white,one,large,chocolate,solitary,grasses,No presenta
4137,edible,flat,scaly,brown,null,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,pink.,partial,white,one,pendant,brown,solitary,wood,Presenta
4138,poisonous,convex,fibrous,yellow,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,brown.,partial,white,one,large,chocolate,several,paths,No presenta
4139,poisonous,flat,fibrous,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,pink.,partial,white,one,large,chocolate,solitary,wood,No presenta
4140,poisonous,convex,scaly,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,buff.,partial,white,one,large,chocolate,solitary,paths,No presenta
4141,poisonous,flat,fibrous,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,brown.,partial,white,one,large,chocolate,solitary,grasses,No presenta
4143,poisonous,convex,scaly,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,brown.,partial,white,one,large,chocolate,several,paths,No presenta
4144,poisonous,convex,fibrous,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,brown.,partial,white,one,large,chocolate,several,paths,No presenta
4147,edible,flat,scaly,red,null,free,close,broad,white,enlarging,,smooth,smooth,white,white.,partial,white,two,evanescent,white,clustered,waste,Presenta
4149,poisonous,convex,scaly,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,brown.,partial,white,one,large,chocolate,several,grasses,No presenta
4150,poisonous,flat,fibrous,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,brown.,partial,white,one,large,chocolate,solitary,wood,No presenta
